query,user,ip
SELECT id FROM reviews WHERE id=470,alice,192.168.1.48
SELECT user_id FROM reviews WHERE id=837,bob,192.168.1.58
SELECT price FROM logs WHERE id=979,svc,10.0.0.17
SELECT email FROM products WHERE id=20,alice,10.0.0.25
SELECT status FROM logs WHERE id=89,analyst,192.168.1.38
SELECT created_at FROM logs WHERE id=553,admin,192.168.1.29
SELECT email FROM logs WHERE id=624,alice,192.168.1.35
SELECT price FROM orders WHERE id=575,svc,192.168.1.50
SELECT user_id FROM logs WHERE id=618,admin,10.0.0.27
SELECT email FROM reviews WHERE id=767,analyst,192.168.1.50
SELECT email FROM products WHERE id=869,bob,192.168.1.42
SELECT created_at FROM reviews WHERE id=473,guest,192.168.1.38
SELECT name FROM sessions WHERE id=837,charlie,10.0.0.8
SELECT price FROM inventory WHERE id=269,charlie,192.168.1.58
SELECT email FROM logs WHERE id=808,alice,10.0.0.2
SELECT user_id FROM products WHERE id=750,svc,192.168.1.34
SELECT email FROM users WHERE id=690,alice,10.0.0.5
SELECT user_id FROM users WHERE id=406,admin,192.168.1.31
SELECT price FROM users WHERE id=794,charlie,10.0.0.10
SELECT status FROM sessions WHERE id=714,charlie,192.168.1.17
SELECT created_at FROM sessions WHERE id=345,svc,10.0.0.7
SELECT price FROM inventory WHERE id=840,admin,192.168.1.40
SELECT id FROM logs WHERE id=417,analyst,192.168.1.51
SELECT status FROM products WHERE id=973,guest,192.168.1.37
SELECT id FROM orders WHERE id=944,alice,192.168.1.40
SELECT status FROM sessions WHERE id=993,svc,10.0.0.21
SELECT status FROM reviews WHERE id=253,admin,192.168.1.43
SELECT created_at FROM logs WHERE id=993,svc,192.168.1.35
SELECT created_at FROM sessions WHERE id=529,svc,10.0.0.14
SELECT status FROM sessions WHERE id=142,analyst,10.0.0.28
SELECT price FROM logs WHERE id=378,admin,192.168.1.59
SELECT status FROM inventory WHERE id=98,alice,10.0.0.13
SELECT created_at FROM sessions WHERE id=176,admin,192.168.1.12
SELECT price FROM logs WHERE id=302,bob,10.0.0.9
SELECT status FROM logs WHERE id=938,charlie,192.168.1.12
SELECT id FROM products WHERE id=215,alice,192.168.1.26
SELECT email FROM logs WHERE id=754,admin,192.168.1.39
SELECT created_at FROM orders WHERE id=903,admin,10.0.0.20
SELECT user_id FROM products WHERE id=502,analyst,192.168.1.30
SELECT status FROM products WHERE id=11,admin,192.168.1.45
SELECT created_at FROM sessions WHERE id=660,charlie,192.168.1.42
SELECT user_id FROM inventory WHERE id=610,alice,10.0.0.13
SELECT email FROM reviews WHERE id=52,svc,10.0.0.22
SELECT email FROM products WHERE id=33,admin,192.168.1.19
SELECT price FROM orders WHERE id=481,admin,192.168.1.19
SELECT id FROM reviews WHERE id=680,analyst,192.168.1.26
SELECT id FROM sessions WHERE id=133,analyst,192.168.1.35
SELECT name FROM products WHERE id=267,analyst,192.168.1.37
SELECT email FROM users WHERE id=512,charlie,192.168.1.12
SELECT created_at FROM inventory WHERE id=513,charlie,10.0.0.7
SELECT email FROM users WHERE id=324,admin,10.0.0.27
SELECT created_at FROM sessions WHERE id=394,charlie,10.0.0.4
SELECT id FROM users WHERE id=721,guest,192.168.1.50
SELECT email FROM reviews WHERE id=293,charlie,192.168.1.28
SELECT status FROM reviews WHERE id=773,svc,10.0.0.16
